City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Rikitea,PF,-23.1203,-134.9692,79.12,70,2,15.86,light rain,2022-02-12 20:48:04
1,Quatre Cocos,MU,-20.2078,57.7625,80.71,86,10,11.18,light rain,2022-02-12 20:48:04
2,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,40,6.91,scattered clouds,2022-02-12 20:48:05
3,Kruisfontein,ZA,-34.0033,24.7314,72.1,91,95,9.64,overcast clouds,2022-02-12 20:48:05
4,Mahebourg,MU,-20.4081,57.7,80.89,83,40,9.22,scattered clouds,2022-02-12 20:48:05
5,Kavieng,PG,-2.5744,150.7967,80.64,78,100,4.0,light rain,2022-02-12 20:48:06
6,Nome,US,64.5011,-165.4064,-0.33,60,100,4.61,overcast clouds,2022-02-12 20:45:25
7,Kodiak,US,57.79,-152.4072,38.71,70,0,3.44,clear sky,2022-02-12 20:48:06
8,Lira,UG,2.235,32.9097,74.48,41,81,2.82,broken clouds,2022-02-12 20:48:07
9,Constitucion,CL,-35.3333,-72.4167,70.48,54,1,5.28,clear sky,2022-02-12 20:44:00
10,Albany,US,42.6001,-73.9662,45.18,58,57,1.99,broken clouds,2022-02-12 20:43:13
11,Sibolga,ID,1.7427,98.7792,75.25,85,92,2.51,overcast clouds,2022-02-12 20:48:07
12,Port Alfred,ZA,-33.5906,26.891,75.31,93,4,11.25,clear sky,2022-02-12 20:48:08
13,Baykit,RU,61.67,96.37,-15.45,100,36,2.51,scattered clouds,2022-02-12 20:48:08
14,Padang,ID,-0.9492,100.3543,76.21,81,96,4.16,overcast clouds,2022-02-12 20:48:08
15,Nevyansk,RU,57.4953,60.2112,10.36,97,99,3.6,overcast clouds,2022-02-12 20:48:08
16,New Norfolk,AU,-42.7826,147.0587,58.75,68,100,3.71,overcast clouds,2022-02-12 20:48:09
17,Ushuaia,AR,-54.8,-68.3,47.86,53,40,42.57,scattered clouds,2022-02-12 20:48:09
18,Bandarbeyla,SO,9.4942,50.8122,75.96,69,100,13.31,overcast clouds,2022-02-12 20:48:09
19,Kaitangata,NZ,-46.2817,169.8464,51.93,81,100,9.73,light rain,2022-02-12 20:48:10
20,Solnechnyy,RU,50.7214,136.6319,10.15,94,100,6.98,light snow,2022-02-12 20:48:10
21,Atuona,PF,-9.8,-139.0333,77.63,78,6,13.71,light rain,2022-02-12 20:48:10
22,Hithadhoo,MV,-0.6,73.0833,81.09,70,100,12.26,overcast clouds,2022-02-12 20:48:11
23,Carnarvon,AU,-24.8667,113.6333,84.27,61,75,8.05,broken clouds,2022-02-12 20:48:11
24,Jibuti,DJ,11.5,42.5,72.82,72,93,10.71,overcast clouds,2022-02-12 20:48:11
25,Calabozo,VE,8.9242,-67.4293,95.49,28,64,8.68,broken clouds,2022-02-12 20:46:42
26,Henties Bay,NA,-22.116,14.2845,70.86,82,92,8.37,overcast clouds,2022-02-12 20:44:14
27,Victoria,HK,22.2855,114.1577,66.18,91,98,8.99,overcast clouds,2022-02-12 20:47:32
28,Hobart,AU,-42.8794,147.3294,58.12,75,75,11.5,moderate rain,2022-02-12 20:45:03
29,Punta Arenas,CL,-53.15,-70.9167,57.31,44,40,31.07,scattered clouds,2022-02-12 20:48:12
30,Nador,MA,35.174,-2.9287,55.65,82,20,2.3,few clouds,2022-02-12 20:48:12
31,Bluff,NZ,-46.6,168.3333,51.8,73,100,13.42,overcast clouds,2022-02-12 20:48:13
32,Buchanan,LR,5.8808,-10.0467,80.56,84,17,7.92,few clouds,2022-02-12 20:48:13
33,Arkhangelskoye,RU,55.8549,35.3287,23.07,92,94,12.77,overcast clouds,2022-02-12 20:48:13
34,Albemarle,US,35.3501,-80.2001,72.45,23,0,3.44,clear sky,2022-02-12 20:48:13
35,Borovskoy,KZ,53.8,64.15,12.04,92,100,4.5,overcast clouds,2022-02-12 20:48:14
36,Shahr-E Kord,IR,32.3256,50.8644,33.57,100,75,6.91,broken clouds,2022-02-12 20:48:14
37,Mataura,NZ,-46.1927,168.8643,51.48,89,97,3.8,overcast clouds,2022-02-12 20:48:14
38,Kapaa,US,22.0752,-159.319,77.11,73,40,9.22,scattered clouds,2022-02-12 20:48:15
39,Nikolskoye,RU,59.7035,30.7861,33.87,96,100,12.48,light snow,2022-02-12 20:48:15
40,Hasaki,JP,35.7333,140.8333,27.0,61,47,3.8,scattered clouds,2022-02-12 20:50:45
41,Yumen,CN,40.2833,97.2,23.43,53,100,7.58,overcast clouds,2022-02-12 20:48:15
42,Havre-Saint-Pierre,CA,50.2334,-63.5986,34.39,93,100,8.05,overcast clouds,2022-02-12 20:54:07
43,Belyy Yar,RU,53.6039,91.3903,-28.14,52,88,0.0,smoke,2022-02-12 20:54:08
44,Kavaratti,IN,10.5669,72.642,80.47,70,6,7.14,clear sky,2022-02-12 20:54:08
45,Castro,BR,-24.7911,-50.0119,73.26,67,57,3.91,broken clouds,2022-02-12 20:54:08
46,Jamestown,US,42.097,-79.2353,29.08,63,100,10.36,overcast clouds,2022-02-12 20:50:53
47,Kahului,US,20.8947,-156.47,79.86,74,4,11.99,clear sky,2022-02-12 20:54:09
48,Qasigiannguit,GL,68.8193,-51.1922,8.13,86,100,12.75,light snow,2022-02-12 20:54:09
49,East London,ZA,-33.0153,27.9116,76.14,89,0,9.89,clear sky,2022-02-12 20:54:09
50,Pangnirtung,CA,66.1451,-65.7125,-7.6,84,100,18.41,light snow,2022-02-12 20:54:10
51,Tahta,EG,26.7693,31.5021,55.72,29,0,5.95,clear sky,2022-02-12 20:54:10
52,Tecoanapa,MX,16.5167,-98.75,85.05,47,100,10.83,overcast clouds,2022-02-12 20:54:10
53,Cape Town,ZA,-33.9258,18.4232,70.09,80,0,14.97,clear sky,2022-02-12 20:51:01
54,Tilbury,GB,51.4625,0.3586,44.98,71,100,13.89,overcast clouds,2022-02-12 20:54:11
55,Bethel,US,41.3712,-73.414,56.01,46,0,11.5,clear sky,2022-02-12 20:51:05
56,Laguna,US,38.421,-121.4238,80.01,45,0,1.99,clear sky,2022-02-12 20:54:11
57,Bengkulu,ID,-3.8004,102.2655,75.31,84,93,4.7,overcast clouds,2022-02-12 20:49:17
58,Fortuna,US,40.5982,-124.1573,71.85,69,0,8.05,clear sky,2022-02-12 20:54:11
59,Tautira,PF,-17.7333,-149.15,87.82,73,92,14.5,light rain,2022-02-12 20:54:12
60,Barrow,US,71.2906,-156.7887,-29.18,100,100,8.05,overcast clouds,2022-02-12 20:50:32
61,Sur,OM,22.5667,59.5289,69.01,63,0,10.29,clear sky,2022-02-12 20:54:12
62,Geraldton,AU,-28.7667,114.6,66.61,82,2,10.36,clear sky,2022-02-12 20:54:12
63,Luderitz,NA,-26.6481,15.1594,73.76,69,4,6.44,clear sky,2022-02-12 20:54:13
64,Cherskiy,RU,68.75,161.3,-20.25,98,100,10.13,overcast clouds,2022-02-12 20:54:13
65,Kutum,SD,14.2,24.6667,60.94,15,30,7.29,scattered clouds,2022-02-12 20:54:13
66,Lompoc,US,34.6391,-120.4579,87.78,31,0,10.36,clear sky,2022-02-12 20:51:40
67,San Jose,US,37.3394,-121.895,81.59,40,40,5.01,scattered clouds,2022-02-12 20:49:42
68,Pevek,RU,69.7008,170.3133,-22.88,98,100,9.28,overcast clouds,2022-02-12 20:51:16
69,Ellensburg,US,46.9965,-120.5479,51.94,50,0,1.01,clear sky,2022-02-12 20:54:14
70,Qaanaaq,GL,77.484,-69.3632,-20.29,47,0,8.52,clear sky,2022-02-12 20:54:14
71,Severo-Kurilsk,RU,50.6789,156.125,18.41,76,37,2.84,scattered clouds,2022-02-12 20:54:14
72,Namikupa,TZ,-10.8333,39.6,71.65,97,100,4.03,overcast clouds,2022-02-12 20:54:15
73,Velesin,CZ,48.8295,14.4625,32.61,74,8,3.98,clear sky,2022-02-12 20:54:15
74,Dingle,PH,10.9995,122.6711,74.01,94,40,7.43,scattered clouds,2022-02-12 20:54:15
75,Fairbanks,US,64.8378,-147.7164,0.91,73,0,0.0,clear sky,2022-02-12 20:51:34
76,Yerbogachen,RU,61.2767,108.0108,-21.3,100,97,1.74,overcast clouds,2022-02-12 20:54:16
77,Nowa Ruda,PL,50.5801,16.5016,33.75,74,44,6.6,scattered clouds,2022-02-12 20:54:16
78,Santa Maria,BR,-29.6842,-53.8069,79.9,69,0,4.61,clear sky,2022-02-12 20:54:16
79,Quakenbruck,DE,52.6833,7.95,37.63,73,63,14.07,broken clouds,2022-02-12 20:54:17
80,Rabo De Peixe,PT,37.8,-25.5833,61.29,81,75,14.97,broken clouds,2022-02-12 20:54:17
81,Humberto De Campos,BR,-2.5983,-43.4611,79.29,81,88,7.18,overcast clouds,2022-02-12 20:54:17
82,Grants,US,35.1473,-107.8514,44.83,31,0,0.0,clear sky,2022-02-12 20:54:17
83,Hilo,US,19.7297,-155.09,79.25,63,75,4.0,broken clouds,2022-02-12 20:52:35
84,Tamsalu,EE,59.1586,26.1153,31.32,97,100,12.93,light snow,2022-02-12 20:54:18
85,Hermanus,ZA,-34.4187,19.2345,68.81,83,100,1.3,overcast clouds,2022-02-12 20:54:07
86,Saskylakh,RU,71.9167,114.0833,-0.9,74,64,11.03,broken clouds,2022-02-12 20:51:17
87,Provideniya,RU,64.3833,-173.3,-9.72,81,11,5.12,few clouds,2022-02-12 20:54:18
88,Lianyuan,CN,27.6883,111.6642,39.43,96,100,2.26,overcast clouds,2022-02-12 20:54:19
89,Loukhi,RU,66.0764,33.0381,10.8,86,47,8.05,scattered clouds,2022-02-12 20:55:19
90,Gamba,GA,-2.65,10.0,77.4,91,100,5.46,moderate rain,2022-02-12 20:55:19
91,Brigantine,US,39.4101,-74.3646,60.21,68,25,10.69,scattered clouds,2022-02-12 20:55:20
92,Dikson,RU,73.5069,80.5464,-3.75,78,100,27.29,overcast clouds,2022-02-12 20:55:20
93,Tilichiki,RU,60.4667,166.1,-21.53,92,12,8.86,few clouds,2022-02-12 20:55:20
94,Rawson,AR,-43.3002,-65.1023,81.12,25,93,8.68,overcast clouds,2022-02-12 20:51:11
95,Shahr-E Babak,IR,30.1165,55.1186,42.94,82,73,6.2,broken clouds,2022-02-12 20:55:20
96,Dwarka,IN,22.2394,68.9678,69.76,54,2,10.29,clear sky,2022-02-12 20:55:21
97,Port Augusta,AU,-32.5,137.7667,59.14,23,92,3.53,overcast clouds,2022-02-12 20:55:21
98,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,31.07,heavy snow,2022-02-12 20:55:22
99,Yellowknife,CA,62.456,-114.3525,-11.58,84,75,3.44,broken clouds,2022-02-12 20:52:28
100,Shache,CN,38.4167,77.2406,36.73,35,100,2.42,overcast clouds,2022-02-12 20:55:22
101,Lorengau,PG,-2.0226,147.2712,80.55,77,98,1.5,overcast clouds,2022-02-12 20:55:22
102,Avarua,CK,-21.2078,-159.775,82.45,74,100,4.61,overcast clouds,2022-02-12 20:55:22
103,Zyryanka,RU,65.75,150.85,-31.4,95,11,8.01,few clouds,2022-02-12 20:55:23
104,Isangel,VU,-19.55,169.2667,77.11,88,75,0.0,broken clouds,2022-02-12 20:55:23
105,Comodoro Rivadavia,AR,-45.8667,-67.5,85.86,23,0,13.8,clear sky,2022-02-12 20:51:50
106,Butaritari,KI,3.0707,172.7902,82.94,68,98,15.52,overcast clouds,2022-02-12 20:55:23
107,Camaqua,BR,-30.8511,-51.8122,77.0,74,98,9.57,overcast clouds,2022-02-12 20:55:24
108,Georgetown,MY,5.4112,100.3354,79.95,86,20,4.61,few clouds,2022-02-12 20:51:37
109,Busselton,AU,-33.65,115.3333,56.08,78,0,11.39,clear sky,2022-02-12 20:55:24
110,Matane,CA,48.8286,-67.522,31.75,99,100,10.49,snow,2022-02-12 20:55:24
111,Nanortalik,GL,60.1432,-45.2371,30.02,98,100,9.22,snow,2022-02-12 20:55:25
112,Parati,BR,-23.2178,-44.7131,92.3,96,94,2.01,overcast clouds,2022-02-12 20:55:25
113,Kirkwall,GB,58.9848,-2.9587,44.65,76,75,18.41,broken clouds,2022-02-12 20:50:38
114,Manggar,ID,-2.8833,108.2667,78.64,86,100,6.46,overcast clouds,2022-02-12 20:55:25
115,Lebu,CL,-37.6167,-73.65,66.47,63,21,11.39,few clouds,2022-02-12 20:52:26
116,Diu,IN,20.7141,70.9822,67.82,39,1,6.51,clear sky,2022-02-12 20:55:26
117,Muroto,JP,33.2833,134.15,51.31,64,100,13.56,overcast clouds,2022-02-12 20:55:26
118,Agua Prieta,MX,31.3,-109.5667,68.72,25,0,17.72,clear sky,2022-02-12 20:55:26
119,Port Hedland,AU,-20.3167,118.5667,84.25,89,44,8.05,scattered clouds,2022-02-12 20:55:27
120,Alugan,PH,12.2188,125.4808,77.47,86,94,13.78,overcast clouds,2022-02-12 20:55:27
121,Vaini,TO,-21.2,-175.2,82.56,83,20,9.22,few clouds,2022-02-12 20:55:27
122,Robertsport,LR,6.7533,-11.3686,79.92,84,10,12.46,clear sky,2022-02-12 20:55:28
123,Faanui,PF,-16.4833,-151.75,81.25,73,97,15.19,overcast clouds,2022-02-12 20:55:28
124,Vila Velha,BR,-20.3297,-40.2925,76.95,92,40,5.75,scattered clouds,2022-02-12 20:55:28
125,Hambantota,LK,6.1241,81.1185,76.14,85,80,9.55,broken clouds,2022-02-12 20:55:28
126,Taoudenni,ML,22.6783,-3.9836,65.93,19,0,10.42,clear sky,2022-02-12 20:55:29
127,Mount Gambier,AU,-37.8333,140.7667,62.51,67,78,10.36,broken clouds,2022-02-12 20:55:29
128,Kidal,ML,18.4411,1.4078,72.1,11,0,7.49,clear sky,2022-02-12 20:55:29
129,Saint-Francois,FR,46.4154,3.9054,33.67,86,0,4.61,clear sky,2022-02-12 20:55:30
130,Bloomfield,US,40.8068,-74.1854,57.45,39,0,18.41,clear sky,2022-02-12 20:51:28
131,Sitka,US,57.0531,-135.33,40.57,90,100,4.47,overcast clouds,2022-02-12 20:55:30
132,Yulara,AU,-25.2406,130.9889,67.84,45,0,6.91,clear sky,2022-02-12 20:55:30
133,Ribeira Grande,PT,38.5167,-28.7,61.2,88,75,21.85,broken clouds,2022-02-12 20:55:31
134,Martapura,ID,-3.4167,114.85,75.29,100,100,4.61,overcast clouds,2022-02-12 20:55:31
135,Chokurdakh,RU,70.6333,147.9167,-2.11,95,100,13.29,overcast clouds,2022-02-12 20:56:31
136,Tuatapere,NZ,-46.1333,167.6833,51.82,75,100,6.98,overcast clouds,2022-02-12 20:56:32
137,Upernavik,GL,72.7868,-56.1549,-0.22,95,100,11.07,overcast clouds,2022-02-12 20:55:18
138,Port Lincoln,AU,-34.7333,135.8667,69.1,49,100,4.76,overcast clouds,2022-02-12 20:56:32
139,Cabo San Lucas,MX,22.8909,-109.9124,84.51,36,20,6.91,few clouds,2022-02-12 20:55:43
140,Durango,MX,24.8333,-104.8333,63.68,12,14,10.78,few clouds,2022-02-12 20:53:36
141,Romilly-Sur-Seine,FR,48.5108,3.7263,36.09,73,71,6.71,broken clouds,2022-02-12 20:56:32
142,Kushnarenkovo,RU,55.105,55.3508,23.38,93,100,7.58,overcast clouds,2022-02-12 20:56:33
143,Epe,NG,6.5841,3.9834,78.04,88,70,5.77,broken clouds,2022-02-12 20:56:33
144,Saint-Philippe,RE,-21.3585,55.7679,78.35,82,31,11.21,scattered clouds,2022-02-12 20:56:33
145,San Quintin,MX,30.4833,-115.95,75.06,29,74,7.72,broken clouds,2022-02-12 20:56:34
146,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,88,75,6.91,mist,2022-02-12 20:56:34
147,Odweyne,SO,9.4092,45.064,63.23,64,100,9.89,overcast clouds,2022-02-12 20:56:34
148,Atikokan,CA,48.7555,-91.6216,-3.33,76,100,3.87,overcast clouds,2022-02-12 20:56:35
149,Tateyama,JP,34.9833,139.8667,41.05,58,51,0.63,broken clouds,2022-02-12 20:56:35
150,Gizycko,PL,54.0381,21.7644,30.11,71,83,11.79,broken clouds,2022-02-12 20:56:35
151,Benghazi,LY,32.1167,20.0667,56.25,64,0,3.15,clear sky,2022-02-12 20:56:36
152,Kungsbacka,SE,57.4872,12.0761,40.17,89,100,25.01,overcast clouds,2022-02-12 20:56:36
153,Ponta Do Sol,PT,32.6667,-17.1,63.23,57,22,5.37,few clouds,2022-02-12 20:56:36
154,Longyearbyen,SJ,78.2186,15.6401,10.24,72,0,13.8,clear sky,2022-02-12 20:56:36
155,Tasiilaq,GL,65.6145,-37.6368,3.2,65,100,4.47,overcast clouds,2022-02-12 20:56:37
156,Taltal,CL,-25.4,-70.4833,70.7,71,23,7.23,few clouds,2022-02-12 20:56:37
157,Viedma,AR,-40.8135,-62.9967,82.85,15,100,6.11,overcast clouds,2022-02-12 20:56:37
158,Souillac,MU,-20.5167,57.5167,80.98,83,40,9.22,light rain,2022-02-12 20:56:38
159,Mehamn,NO,71.0357,27.8492,27.05,76,90,21.36,light snow,2022-02-12 20:56:38
160,Oktyabrskoye,RU,43.0645,44.7417,24.94,100,8,6.71,clear sky,2022-02-12 20:56:34
161,Merauke,ID,-8.4667,140.3333,76.17,86,0,10.67,clear sky,2022-02-12 20:56:38
162,Cascais,PT,38.6979,-9.4215,56.46,70,14,15.01,few clouds,2022-02-12 20:56:38
163,Palmer,US,42.1584,-72.3287,55.47,37,75,14.97,broken clouds,2022-02-12 20:55:18
164,Minusinsk,RU,53.7103,91.6875,-28.01,52,82,1.36,broken clouds,2022-02-12 20:56:39
165,Pilar,BR,-9.5972,-35.9567,80.53,70,8,10.74,clear sky,2022-02-12 20:56:39
166,Ulladulla,AU,-35.35,150.4667,63.88,83,38,2.66,scattered clouds,2022-02-12 20:56:39
167,Narsaq,GL,60.9167,-46.05,28.18,98,100,2.68,snow,2022-02-12 20:56:40
168,Santa Ana,US,33.7456,-117.8678,94.82,13,20,9.22,few clouds,2022-02-12 20:53:55
169,The Pas,CA,53.8251,-101.2541,-3.98,65,0,6.91,clear sky,2022-02-12 20:56:40
170,Cabedelo,BR,-6.9811,-34.8339,84.87,74,50,10.09,scattered clouds,2022-02-12 20:56:40
171,Siniscola,IT,40.5719,9.6922,42.35,85,5,4.9,clear sky,2022-02-12 20:56:41
172,Kamienna Gora,PL,50.7831,16.0304,35.17,69,59,10.45,broken clouds,2022-02-12 20:56:41
173,Mandalgovi,MN,45.7625,106.2708,-8.41,81,12,6.55,few clouds,2022-02-12 20:56:41
174,Joao Pinheiro,BR,-17.7425,-46.1725,69.33,92,87,5.82,overcast clouds,2022-02-12 20:56:42
175,Mar Del Plata,AR,-38.0023,-57.5575,66.22,68,40,18.41,scattered clouds,2022-02-12 20:56:42
176,Ilulissat,GL,69.2167,-51.1,10.31,90,100,21.94,snow,2022-02-12 20:56:42
177,Labytnangi,RU,66.6572,66.4183,-16.26,100,100,6.6,overcast clouds,2022-02-12 20:53:31
178,Lokosovo,RU,61.1333,74.8167,-8.18,97,28,9.06,scattered clouds,2022-02-12 20:57:43
179,Lata,PT,40.1629,-8.3327,54.81,96,51,1.48,broken clouds,2022-02-12 20:57:43
180,Songea,TZ,-10.6833,35.65,63.66,98,100,1.52,light rain,2022-02-12 20:56:33
181,Sukhumi,GE,43.0033,41.0153,45.68,68,9,2.51,clear sky,2022-02-12 20:57:43
182,Leninsk,RU,48.7119,45.1994,31.86,98,100,11.5,light snow,2022-02-12 20:57:44
183,Broome,US,42.2506,-75.833,37.69,67,61,7.0,broken clouds,2022-02-12 20:57:44
184,Vardo,NO,70.3705,31.1107,26.58,66,11,15.37,few clouds,2022-02-12 20:57:44
185,Puerto Ayora,EC,-0.7393,-90.3518,85.96,85,98,5.01,overcast clouds,2022-02-12 20:57:44
186,Puerto Escondido,MX,15.85,-97.0667,85.53,48,21,6.35,few clouds,2022-02-12 20:57:45
